Date,Closing Price
2020-02-29,8778.4705108021
2020-03-01,8639.5914172977
2020-03-02,8548.9483224221
2020-03-03,8923.0443982559
2020-03-04,8791.1120581303
2020-03-05,8756.9610624113
2020-03-06,9078.5787771302
2020-03-07,9126.6368222216
2020-03-08,8925.2134877789
2020-03-09,8166.3138940249
2020-03-10,7875.7508752183
2020-03-11,7959.2282742121
2020-03-12,7955.3062841815
2020-03-13,5800.2089048343
2020-03-14,5672.6812010316
2020-03-15,5304.149952186
2020-03-16,5355.1873735338
2020-03-17,4944.7023359837
2020-03-18,5465.582594124
2020-03-19,5363.8228532507
2020-03-20,6301.0634040737
2020-03-21,6185.2798385235
2020-03-22,6187.0537502172
2020-03-23,5884.3401334651
2020-03-24,6455.4546882515
2020-03-25,6784.3180114254
2020-03-26,6706.9850891337
2020-03-27,6721.4953923809
2020-03-28,6682.7800491951
2020-03-29,6229.4883428258
2020-03-30,5922.4898350924
2020-03-31,6483.7394455297
2020-04-01,6446.4213468415
2020-04-02,6537.3364615033
2020-04-03,6850.5587116906
2020-04-04,6776.370093566
2020-04-05,6855.9332644576
2020-04-06,6805.3622868989
2020-04-07,7278.2439697658
2020-04-08,7175.6674765579
2020-04-09,7367.2933984502
2020-04-10,7321.8166138877
2020-04-11,6866.3981890103
2020-04-12,6873.848495157
2020-04-13,7043.4388635241
2020-04-14,6889.8637723481
2020-04-15,6887.554907833
2020-04-16,6718.7999502834
2020-04-17,7166.5828171387
2020-04-18,7065.0823890422
2020-04-19,7277.1405855631
2020-04-20,7185.87030343
2020-04-21,6856.1464345446
2020-04-22,6904.4757726979
2020-04-23,7118.3887479246
2020-04-24,7562.0328317455
2020-04-25,7497.8617638281
2020-04-26,7542.3034007032
2020-04-27,7624.8537859232
2020-04-28,7776.5075425684
2020-04-29,7761.7587840758
2020-04-30,8773.1064879583
2020-05-01,8767.6726233679
2020-05-02,8853.7744840141
2020-05-03,8963.057557797
2020-05-04,8904.713816537
2020-05-05,8887.5058925872
2020-05-06,8978.2835871237
2020-05-07,9371.6842727917
2020-05-08,9900.678866615
2020-05-09,9917.2484143422
2020-05-10,9617.5181949278
2020-05-11,8786.655181651
2020-05-12,8608.125245038
2020-05-13,8815.2312449023
2020-05-14,9330.986484701
2020-05-15,9757.2965855933
2020-05-16,9362.6355569661
2020-05-17,9418.9185505051
2020-05-18,9684.7019593528
2020-05-19,9723.6801504531
2020-05-20,9719.4808544776
2020-05-21,9540.8865665842
2020-05-22,9141.150637421
2020-05-23,9192.8451358053
2020-05-24,9220.0758874664
2020-05-25,9048.7151191611
2020-05-26,8905.7816045384
2020-05-27,8835.7272240409
2020-05-28,9112.9791755927
2020-05-29,9507.5246646633
2020-05-30,9425.2818691896
2020-05-31,9688.324390372
2020-06-01,9427.6700841394
2020-06-02,10268.5819847333
2020-06-03,9516.1354430882
2020-06-04,9667.0607542595
2020-06-05,9811.367094602
2020-06-06,9659.6612981892
2020-06-07,9677.0509945125
2020-06-08,9737.458558786
2020-06-09,9791.9278997681
2020-06-10,9786.1420204782
2020-06-11,9874.967047524
2020-06-12,9260.8326409877
2020-06-13,9464.2280968215
2020-06-14,9458.6597544046
2020-06-15,9351.9537280097
2020-06-16,9441.7689955465
2020-06-17,9510.6606372934
2020-06-18,9457.6270744096
2020-06-19,9398.6420936216
2020-06-20,9279.7607651662
2020-06-21,9353.0781961865
2020-06-22,9289.104491444
2020-06-23,9680.9471278957
2020-06-24,9609.6802455253
2020-06-25,9311.1363183171
2020-06-26,9252.6333717662
2020-06-27,9171.7320857653
2020-06-28,9022.1537680028
2020-06-29,9101.8500573564
2020-06-30,9188.0613754617
2020-07-01,9148.4448585576
2020-07-02,9236.3167704303
2020-07-03,9097.7973663897
2020-07-04,9094.3245610188
2020-07-05,9124.653534398
2020-07-06,9055.4644825162
2020-07-07,9278.8056370407
2020-07-08,9244.4158145353
2020-07-09,9471.7599734203
2020-07-10,9236.1432537083
2020-07-11,9243.1752591504
2020-07-12,9229.85975494
2020-07-13,9286.737042085
2020-07-14,9238.9937548587
2020-07-15,9260.4709801845
2020-07-16,9211.0264328947
2020-07-17,9133.7778303426
2020-07-18,9160.4105914881
2020-07-19,9176.6863901004
2020-07-20,9190.2715341962
2020-07-21,9172.5883325719
2020-07-22,9395.0644458829
2020-07-23,9530.7908853474
2020-07-24,9617.3778613786
2020-07-25,9568.9747259614
2020-07-26,9708.9491400965
2020-07-27,9938.9512228609
2020-07-28,11187.7797269617
2020-07-29,10939.6701415471
2020-07-30,11284.4589868467
2020-07-31,11118.918412434
2020-08-01,11373.3172566418
2020-08-02,11766.7482970949
2020-08-03,11139.0983803526
2020-08-04,11261.8063317402
2020-08-05,11228.0263240165
2020-08-06,11653.4075855619
2020-08-07,11796.8173649898
2020-08-08,11639.9354101265
2020-08-09,11744.9120755023
2020-08-10,11673.1232375366
2020-08-11,11832.2273081293
2020-08-12,11340.5823406437
2020-08-13,11549.5463143706
2020-08-14,11752.1686562261
2020-08-15,11783.2834112599
2020-08-16,11895.6269498904
2020-08-17,11896.9471701861
2020-08-18,12399.1118846619
2020-08-19,12071.738909085
2020-08-20,11749.8295087584
2020-08-21,11833.8973486966
2020-08-22,11583.1389426341
2020-08-23,11674.6243539052
2020-08-24,11666.4101222366
2020-08-25,11744.0126966495
2020-08-26,11378.7260298071
2020-08-27,11458.8225964867
2020-08-28,11302.1209644988
2020-08-29,11482.2256865058
2020-08-30,11515.0444306934
2020-08-31,11657.0039342288
2020-09-01,11678.3732554192
2020-09-02,11964.2086724627
2020-09-03,11427.7026049712
2020-09-04,10712.9206460713
2020-09-05,10563.896938616
2020-09-06,10042.8548543675
2020-09-07,10207.6050029603
2020-09-08,10381.7761069335
2020-09-09,10043.1964412914
2020-09-10,10268.460915747
2020-09-11,10341.0159838502
2020-09-12,10380.5395972283
2020-09-13,10436.3654083593
2020-09-14,10313.06857949
2020-09-15,10680.2975611652
2020-09-16,10829.5053071986
2020-09-17,11033.3835264817
2020-09-18,10937.1112591004
2020-09-19,10933.9311623986
2020-09-20,11048.8792781597
2020-09-21,10852.9101389415
2020-09-22,10526.2028872017
2020-09-23,10531.1645626345
2020-09-24,10260.0330124118
2020-09-25,10672.956808056
2020-09-26,10729.0696074184
2020-09-27,10741.4764675217
2020-09-28,10752.3454497531
2020-09-29,10863.0657239052
2020-09-30,10764.2843707196
2020-10-01,10741.5795494951
2020-10-02,10626.6009564965
2020-10-03,10567.330195233
2020-10-04,10555.0286787811
2020-10-05,10660.6111826447
2020-10-06,10756.4045849204
2020-10-07,10589.6263935253
2020-10-08,10645.7547867781
2020-10-09,10897.5954315054
2020-10-10,11052.3950836712
2020-10-11,11360.8527168674
2020-10-12,11334.0267420322
2020-10-13,11666.2117003214
2020-10-14,11443.7327918222
2020-10-15,11395.54736637
2020-10-16,11504.5490067109
2020-10-17,11355.1604394509
2020-10-18,11358.7063796297
2020-10-19,11471.002547787
2020-10-20,11776.5929973295
2020-10-21,11936.3629133377
2020-10-22,13102.9344615485
2020-10-23,13140.669284056
2020-10-24,12933.8235654933
2020-10-25,13081.6725594906
2020-10-26,13008.4532577537
2020-10-27,13033.5242700816
2020-10-28,13721.2822248459
2020-10-29,13282.2603479223
2020-10-30,13467.7317828145
2020-10-31,13573.7105031536
2020-11-01,13891.2168331626
2020-11-02,13730.1973109361
2020-11-03,13633.6982168925
2020-11-04,13832.9384097683
2020-11-05,14163.9768155039
2020-11-06,15424.527676687
2020-11-07,15540.5965908122
2020-11-08,14783.9816785334
2020-11-09,15500.3342547421
2020-11-10,15283.7801387338
2020-11-11,15374.0443857602
2020-11-12,15820.4952410758
2020-11-13,16253.3102719418
2020-11-14,16347.0449203531
2020-11-15,15991.833024404
2020-11-16,15918.0801281116
2020-11-17,16752.0029899638
2020-11-18,17593.4864149334
2020-11-19,17834.6365337098
2020-11-20,17954.8580090953
2020-11-21,18612.870672181
2020-11-22,18591.8566047532
2020-11-23,18629.995537256
2020-11-24,18469.2004694785
2020-11-25,19045.7364656531
2020-11-26,18746.9348067039
2020-11-27,17187.4062763281
2020-11-28,17023.9614000906
2020-11-29,17814.7802784355
2020-11-30,18114.4143492772
2020-12-01,19382.3605858664
2020-12-02,18980.9774501247
2020-12-03,19184.8978477411
2020-12-04,19464.5317045601
2020-12-05,18813.1247602864
2020-12-06,19045.0202725986
2020-12-07,19113.9333950879
2020-12-08,19107.5997953098
2020-12-09,18682.4578332067
2020-12-10,18543.0070492215
2020-12-11,18359.4766003421
2020-12-12,18137.3193746116
2020-12-13,18882.2601710641
2020-12-14,19060.2769012786
2020-12-15,19251.2240047093
2020-12-16,19443.4763528278
2020-12-17,21310.6562622307
2020-12-18,22895.9762375501
2020-12-19,23008.7762567449
2020-12-20,23890.8226488694
2020-12-21,23537.3698908908
2020-12-22,23177.2709979948
2020-12-23,23433.9807581397
2020-12-24,23224.4541378534
2020-12-25,23623.8855332302
2020-12-26,24581.0061712681
2020-12-27,26381.2962329223
2020-12-28,26389.2902649448
2020-12-29,26718.0294634041
2020-12-30,26975.7295645207
2020-12-31,28768.8362075267
2021-01-01,29111.5215671239
2021-01-02,29333.6051206224
2021-01-03,32154.1673632745
2021-01-04,33002.5364270397
2021-01-05,31431.6122797216
2021-01-06,34433.6065138377
2021-01-07,36275.7563476709
2021-01-08,39713.5078567171
2021-01-09,40519.4485975339
2021-01-10,40258.923988658
2021-01-11,38709.7653748751
2021-01-12,34409.6423752223
2021-01-13,34214.6102620504
2021-01-14,37017.0075034547
2021-01-15,38435.8635146613
2021-01-16,36751.5849736892
2021-01-17,36016.7796059422
2021-01-18,36375.8113792618
2021-01-19,36346.6095022257
2021-01-20,36577.5196463886
2021-01-21,35004.5326268831
2021-01-22,30606.1826756533
2021-01-23,33368.3659318948
2021-01-24,32070.0974252022
2021-01-25,32285.726132437
2021-01-26,32500.2559626891
2021-01-27,32324.5556507343
2021-01-28,30534.9993730199
2021-01-29,33408.2183373915
2021-01-30,34842.5573931247
2021-01-31,34622.3732315285
2021-02-01,33087.3698645166
2021-02-02,33613.320764309
2021-02-03,35632.9019515192
2021-02-04,37397.426364087
2021-02-05,37256.2521108726
2021-02-06,37851.5965900821
2021-02-07,40302.7997928393
2021-02-08,38461.6814033048
2021-02-09,44716.6854690563
2021-02-10,46674.851688109
2021-02-11,45237.475689253
2021-02-12,47500.8975242038
2021-02-13,47884.1828622953
2021-02-14,47005.1906488965
2021-02-15,49151.167576322
2021-02-16,48125.9921954072
2021-02-17,48840.4144745814
2021-02-18,52165.3025552208
2021-02-19,51728.5087967282
2021-02-20,55719.2043616996
2021-02-21,54801.6486439949
2021-02-22,57128.6426064698
2021-02-23,54181.9146491937
2021-02-24,48172.8774769266
2021-02-25,48745.4329843392
2021-02-26,48291.4120833455
2021-02-27,45752.1149194059
2021-02-28,46642.6060765784
